,index,PNW
0,730,98252.61608593047
1,731,135771.45812177294
2,732,153647.99073173545
3,733,155117.1589015346
4,734,155167.93893499047
5,735,153208.50956915037
6,736,156741.65282522325
7,737,151720.8092861999
8,738,150268.6898035731
9,739,165319.33745507945
10,740,158929.95944596807
11,741,166269.98002174895
12,742,155397.74993175597
13,743,159670.3670338197
14,744,155679.38786527675
15,745,158319.36056921407
16,746,179715.92992807835
17,747,208038.6961109506
18,748,258550.9849172538
19,749,249029.58810809776
20,750,253728.1426376924
21,751,264308.2394300913
22,752,270202.9680948578
23,753,285076.8732099191
24,754,258812.61498061466
25,755,237899.5794682626
26,756,239563.81900470532
27,757,231229.97902808484
28,758,234988.37158668105
29,759,244720.80509644933
30,760,265007.724969793
31,761,288653.45371182985
32,762,299165.7225931887
33,763,297830.9498752628
34,764,297284.2018862221
35,765,290426.8133477379
36,766,287201.88660544547
37,767,276233.4747354938
38,768,264811.34567256045
39,769,257539.34710072484
40,770,254512.76701536585
41,771,262292.65631633834
42,772,257155.2163763112
43,773,260260.06148781884
44,774,255608.26537847123
45,775,261537.40136677842
46,776,289304.9419811182
47,777,306338.19681227556
48,778,306165.208422999
49,779,308095.4137800573
50,780,299213.09314923605
51,781,298569.7647983618
52,782,303485.84172858426
53,783,326364.6925198032
54,784,331265.8117394508
55,785,362246.3842820079
56,786,399233.7411197406
57,787,436780.1128008506
58,788,437892.8624135577
59,789,454210.05335442245
60,790,389106.1779402313
61,791,385415.9760806292
62,792,381213.01382583333
63,793,382418.6182006807
64,794,374025.3856421384
65,795,370908.87233685213
66,796,374681.2165430722
67,797,392518.6451309606
68,798,413121.6401568083
69,799,417917.443202191
70,800,404158.766586561
71,801,395918.1146403032
72,802,387703.4683174299
73,803,394911.75883218687
74,804,386291.3019101951
75,805,364086.0375008992
76,806,359554.0852205787
77,807,357892.75634740584
78,808,349591.69706948556
79,809,342634.198617955
80,810,341793.85715717805
81,811,356036.3520277316
82,812,395854.9964201426
83,813,371613.47235933447
84,814,378970.2008857414
85,815,377490.5042464888
86,816,374591.05880488537
87,817,381407.1446344284
88,818,412213.93438298965
89,819,422372.9289950263
90,820,423705.5582481068
91,821,423127.72889155097
92,822,414360.9764660966
93,823,377161.3151711486
94,824,391902.2469238461
95,825,357963.2891195266
96,826,371943.8516806136
97,827,363131.43616898195
98,828,379891.31682149076
99,829,413778.318667658
100,830,415685.89455161383
101,831,413619.9003479403
102,832,413993.75429677754
103,833,393815.4063289497
104,834,384365.9896940209
105,835,351982.1561009382
106,836,348463.13140387315
107,837,328203.9705018001
108,838,308575.7910612378
109,839,313798.5434003502
110,840,312724.83316518343
111,841,341691.35592431505
112,842,382414.5272225609
113,843,402024.8113256974
114,844,432080.16368913103
115,845,418200.1459235685
116,846,389975.6345190948
117,847,363196.21865369054
118,848,369934.62098867306
119,849,359552.7273084308
120,850,164269.6598132698
121,851,142646.68455556527
122,852,148113.93064554452
123,853,158965.76625709023
124,854,167979.36064187225
125,855,167298.76758916763
126,856,166022.89902850412
127,857,160894.14042994188
128,858,156036.37966118165
129,859,152991.14390161
130,860,155011.45640416013
131,861,148509.7447100353
132,862,146213.66212721192
133,863,150847.5561788102
134,864,142149.5772162491
135,865,137113.41657347104
136,866,133323.9308258593
137,867,127058.8517108194
138,868,138483.75218141923
139,869,167903.0010366444
140,870,255975.47056278615
141,871,348301.71767686756
142,872,392556.60328944074
143,873,356437.0257519898
144,874,348558.6228065443
145,875,346376.278819868
146,876,409231.5450312337
147,877,427110.9160464407
148,878,444264.8052665365
149,879,443147.37946108356
150,880,444828.8482388491
151,881,452537.1137090268
152,882,459939.2093122456
153,883,465917.37169802363
154,884,472560.04621863016
155,885,465582.52168481244
156,886,471892.7978274268
157,887,473058.4022913894
158,888,477158.07916168217
159,889,477343.63302944513
160,890,477994.810529258
161,891,478156.69825441146
162,892,473693.47087562276
163,893,466206.0566098348
164,894,425685.4724786645
165,895,366223.37314769137
166,896,375034.75673938054
167,897,346781.8371261967
168,898,317983.37754227535
169,899,321518.07456584676
170,900,339855.5887374065
171,901,293004.3506533005
172,902,274076.93679244537
173,903,247151.28111657462
174,904,232008.60894698242
175,905,266053.1970515796
176,906,260476.41433868266
177,907,239645.40142315053
178,908,226497.30625560752
179,909,228202.6129052663
180,910,271694.11640511395
181,911,293178.13869781856
182,912,246126.34502412248
183,913,250550.13113810116
184,914,312131.79310334875
