datetime,realization,ORO_inf,SHA_inf,FOL_inf,YRS_inf,MHB_inf,PAR_inf,NHG_inf,NML_inf,DNP_inf,EXC_inf,MIL_inf,PFT_inf,KWH_inf,SUC_inf,ISB_inf,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf,ORO_evap,SHA_evap,FOL_evap,YRS_evap,MHB_evap,PAR_evap,NHG_evap,NML_evap,DNP_evap,EXC_evap,MIL_evap,PFT_evap,KWH_evap,SUC_evap,ISB_evap,ORO_precip,SHA_precip,FOL_precip,YRS_precip,MHB_precip,PAR_precip,NHG_precip,NML_precip,DNP_precip,EXC_precip,MIL_precip,PFT_precip,KWH_precip,SUC_precip,ISB_precip,ORO_fci,SHA_fci,FOL_fci,YRS_fci,MHB_fci,PAR_fci,NHG_fci,NML_fci,DNP_fci,EXC_fci,MIL_fci,PFT_fci,KWH_fci,SUC_fci,ISB_fci,ORO_snow,SHA_snow,FOL_snow,YRS_snow,MHB_snow,PAR_snow,NHG_snow,NML_snow,DNP_snow,EXC_snow,MIL_snow,PFT_snow,KWH_snow,SUC_snow,ISB_snow,ORO_gains,SHA_gains,FOL_gains,YRS_gains,MHB_gains,PAR_gains,NHG_gains,NML_gains,DNP_gains,EXC_gains,MIL_gains,PFT_gains,KWH_gains,SUC_gains,ISB_gains,SAC_gains,SJ_gains,delta_depletions,CCC_pump,BRK_pump,EAST_gains
1/1/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7309.949597,94333.31403,5512.612909,0,83.07793867,851.7372432,62.72582326,1083.466451,272.4922921,633.51823,450.3781344,505.276014,75.33602459,146.7195102,627.9653287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6946.404844,86257.73284,5998.670159,0,76.78362302,768.7857114,71.00987805,917.7050819,272.4922921,541.0761982,455.639747,505.276014,76.65805031,137.5493067,607.0965165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4615.346889,74193.2991,7969.224717,0,71.74846333,761.7784492,55.62483546,1106.293406,487.2692855,582.79196,476.7127043,505.276014,75.33602459,133.8819745,726.0006997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7032.228406,68619.17451,5066.501393,0,70.48930738,743.0795118,810.6917978,2174.136018,819.6047937,536.5709441,456.9650902,558.6727775,80.6227388,133.8819745,657.169132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6523.555045,52803.35813,3807.550098,0,67.9724596,733.7364955,2145.682677,1470.230164,286.3772497,629.0009298,492.5107955,614.8145569,74.01399887,128.3791032,552.8459607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5439.1888,40929.86304,4071.415556,0,74.26531111,739.582333,1392.915907,1136.323475,804.6380457,553.4837161,645.2698555,606.6070977,71.37133611,168.7272495,642.5672304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5604.567912,35570.74498,4834.958438,0,71.74846333,699.8487042,631.9905005,1045.028475,262.875057,559.1092607,553.0922343,449.1342346,75.33602459,168.7272495,623.7873884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5822.984056,30652.87167,3968.451108,0,70.48930738,706.8559664,366.88006,1028.212662,776.8562428,626.7483027,463.5520461,497.0547608,75.33602459,146.7195102,594.5835851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5156.80678,29064.39057,3859.489717,0,70.48930738,644.9391261,274.5749764,1162.73917,773.6465352,503.8777366,443.7911786,497.0547608,74.01399887,141.2166389,769.8272943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4123.870385,29297.04689,3700.31664,0,79.3004708,641.4290427,202.3755665,1041.426918,244.6986014,564.7468514,539.9315761,497.0547608,77.98007603,174.2282478,621.6984182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
