,CAISO
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,665.9271170446835
8,2347.1355208354103
9,3625.6031927988324
10,4806.663804041232
11,5016.463627132665
12,4880.655705935085
13,4753.277241915286
14,4005.8653721520554
15,2134.525878684717
16,276.298874160593
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,2.0276764423104776
30,13.179896875018105
31,708.6729165875118
32,3343.6384533699775
33,5482.837100007531
34,6361.834837749124
35,6383.1254403933835
36,6583.86540818212
37,6623.405098807176
38,6028.28206298905
39,3730.9246538512784
40,52.71958750007242
41,28.387470192346687
42,28.387470192346687
43,28.387470192346687
44,28.387470192346687
45,20.276764423104773
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,440.15273658145
56,2497.841940780508
57,4356.816591218189
58,5313.6271675792195
59,5185.456280403131
60,5345.421496181039
61,5098.021876748126
62,4855.590121159245
63,2951.9046961252548
64,472.9406379520771
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,321.6102538906634
80,1661.3836231135779
81,2508.2367539613547
82,3917.503796135518
83,5055.260674221081
84,5069.8058615829705
85,4888.799085523903
86,4242.346313884379
87,2795.9082373409433
88,554.3332516808922
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,752.5671767745515
104,2602.628153011991
105,4099.923265136359
106,4632.9916820183325
107,5088.974224890414
108,5094.200385840238
109,4510.176899697486
110,4193.994162233178
111,1758.6031596155317
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,778.0836047294597
128,2475.4585794911327
129,3632.497717635126
130,3613.7660752990464
131,4162.747285302609
132,3801.0824986598423
133,3331.3505446935383
134,2083.5349859977755
135,1046.090179691829
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,122.06343568596743
152,627.948563584477
153,844.9502270261969
154,1561.0557163838726
155,1860.7892640127482
156,1657.3502045361358
157,1136.546212276008
158,832.7438834576002
159,474.69113877876225
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,786.020755462179
176,2718.3217793067024
177,4282.175574028329
178,4838.9402758140395
179,5315.19243493956
180,5320.6509124080485
181,4710.666055304586
182,4380.428168461101
183,1836.7776681459945
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,767.8137778676528
200,2655.355981792299
201,4182.985477341483
202,4726.853569997737
203,5192.074070823797
204,5197.40611094788
205,4601.550627081835
206,4278.96219957494
207,1794.23150175323
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,778.4898592784405
224,2692.2774300046067
225,4241.1478791940035
226,4792.578196182899
227,5264.267364391538
228,5269.6735439698605
229,4665.5329760923205
230,4338.459111603808
231,1819.1794281055222
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,476.49956752064276
248,2641.9616432052076
249,4203.640020319094
250,4001.2908889062187
251,4122.047628620355
252,3890.3252361959326
253,3807.100996663217
254,2808.4101222706377
255,1364.224789202936
256,228.45869675647253
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,264.08424096004825
272,1490.9756104202725
273,2854.035416625522
274,3559.6354979406506
275,4020.407480865735
276,3940.6320330757203
277,2860.912610400523
278,2225.459905590407
279,1440.084376485263
280,154.04914056002815
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,755.3182232083957
296,2403.0309397630067
297,3526.2171124228985
298,3508.033525567882
299,4040.9524941649165
300,3689.8693941180513
301,3233.8809852922413
302,2022.5743532580373
303,1015.4833889801762
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,179.43745630437172
320,1708.0287194085308
321,3028.8502962655225
322,4390.146487326508
323,4975.679239477615
324,5040.438622204006
325,3977.305422445773
326,3192.0979068882966
327,2041.2697096880781
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,750.0913795476125
344,2386.4018334496263
345,3501.8154959991316
346,3483.757740565578
347,4012.9888805797264
348,3664.335294901114
349,3211.5023509519997
350,2008.5780274552733
351,1008.4561880584566
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,476.9158125083595
368,2974.474931262829
369,3949.302849911992
370,4211.256608564382
371,4098.27655235171
372,4333.235076333815
373,4691.171891591663
374,4373.228016586089
375,3152.4435153854456
376,866.8469799680245
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,769.7841447657835
392,2720.228781609045
393,3909.009359601774
394,4735.634105774313
395,5239.0794325198685
396,5753.892879546773
397,5809.10946377048
398,5135.142332804657
399,3743.359606930656
400,1049.1151002504137
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,698.1248627327078
416,2398.086388717668
417,4155.766899416749
418,4720.588392690653
419,5003.686270098011
420,4558.425530874788
421,4077.433991590441
422,2942.293958879385
423,1654.6108951381502
424,267.98100045842136
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,6.353293981408688
433,6.353293981408688
434,6.353293981408688
435,6.353293981408688
436,4.764970486056516
437,4.764970486056516
438,4.764970486056516
