pool_elev_m,release_cap_cms
345.0336,0
350.52,53.77
353.568,76.41
356.616,91.692
359.664,104.993
362.712,116.596
365.76,126.784
368.808,136.689
371.856,146.028
374.904,154.518
377.952,162.725
381,170.366
384.048,177.724
387.096,184.516
390.144,191.308
393.192,198.1
396.24,204.326
399.288,210.552
402.336,216.495
402.6408,217.0893
402.9456,224.4756
403.2504,236.9559
403.5552,252.8322
403.86,271.5385
404.1648,293.0748
404.4696,316.8751
404.7744,342.3734
405.0792,369.5697
405.384,399.03
405.6888,429.594
405.9936,461.856
406.2984,495.816
406.6032,530.908
406.908,567.698
407.2128,605.62
407.5176,644.674
407.8224,685.426
408.1272,726.744
408.432,769.76
408.7368,813.3703
409.0416,858.6786
409.3464,904.5529
409.6512,951.5592
409.956,999.6975
410.2608,1048.9678
410.5656,1098.8041
410.8704,1149.7724
411.1752,1201.8727
411.48,1255.105
411.7848,1308.83538
412.0896,1363.69493
412.3944,1419.12331
412.6992,1475.68369
413.004,1532.81007
413.3088,1591.06562
413.6136,1649.89
