pool_elev_m,release_cap_cms
204.216,0
204.5208,1.132
204.8256,2.83
205.1304,5.094
205.4352,7.358
205.74,9.905
206.0448,12.735
206.3496,15.848
206.6544,18.961
206.9592,22.357
207.264,26.319
207.5688,30.847
207.8736,35.941
208.1784,41.035
208.4832,46.129
208.788,51.223
209.0928,56.317
209.3976,61.694
209.7024,66.505
210.0072,70.4104
210.312,73.8064
210.6168,76.8628
210.9216,79.6928
211.2264,82.353
211.5312,84.9
211.836,87.3338
212.1408,89.6544
212.4456,91.8618
212.7504,93.956
213.0552,95.937
213.36,97.8614
213.6648,99.7292
213.9696,101.5404
214.2744,103.295
214.5792,104.993
214.884,106.6344
215.1888,108.2192
215.4936,109.804
215.7984,111.3322
216.1032,112.8604
216.408,114.332
219.456,126.784
222.504,138.104
225.552,148.292
228.6,157.348
231.648,166.121
234.696,174.894
237.744,182.818
240.792,190.176
243.84,197.534
246.888,204.892
249.936,211.684
252.984,218.476
254.2032,221.306
255.73,221.306
