0,1,2,3,4,5
MaxI_FloodIncrsRamp_Cougar.csv,Max_Flow_Winter_and_Conservation.csv,cp_Min_Flow_at_Albany_23762845.csv,Min_RO_flow.csv,Min_Low_RO_flows_turbine_low.csv,Missing
Max_Flow_Winter_and_Conservation.csv,cp_Max_Vida_Flood_23772903.csv,cp_Min_flow_at_Salem_23791083.csv,MaxD_Revised_Daily_BiOP_MaxD.csv,Pow_Min_Low_Turbine_Flows_at_Low_Res_Elev.csv,Missing
MaxD_FloodDcrsRamp_Cougar.csv,Min_ConservFlow_Cougar.csv,cp_Max_Vida_Flood_23772903.csv,Min_ConservFlow_Cougar.csv,Missing,Missing
RO_Min_flow.csv,MaxI_High_Flow_Ramp_Up.csv,MaxD_Revised_Daily_BiOP_MaxD.csv,Pow_Min_CGR_power_release.csv,Missing,Missing
Pow_Min_CGR_power_release.csv,MaxD_FloodDcrsRamp_Cougar.csv,RO_Min_flow.csv,Pow_Max_CGR_updated_power_release.csv,Missing,Missing
Pow_Max_CGR_updated_power_release.csv,RO_Min_flow.csv,MaxI_IncrsRamping_Cougar.csv,Missing,Missing,Missing
Missing,Pow_Min_CGR_power_release.csv,Max_Flow_Winter_and_Conservation.csv,Missing,Missing,Missing
Missing,Pow_Max_CGR_updated_power_release.csv,Min_ConservFlow_Cougar.csv,Missing,Missing,Missing
Missing,Missing,Pow_Min_CGR_power_release.csv,Missing,Missing,Missing
Missing,Missing,Pow_Max_CGR_updated_power_release.csv,Missing,Missing,Missing
