datetime,SALEM_T,SALEM_W,EUGENE_T,EUGENE_W,SEATTLE_T,SEATTLE_W,BOISE_T,BOISE_W,PORTLAND_T,PORTLAND_W,SPOKANE_T,SPOKANE_W,PASCO_T,PASCO_W,FRESNO_T,FRESNO_W,LOS ANGELES_T,LOS ANGELES_W,SAN DIEGO_T,SAN DIEGO_W,SACRAMENTO_T,SACRAMENTO_W,SAN JOSE_T,SAN JOSE_W,SAN FRANCISCO_T,SAN FRANCISCO_W,TUCSON_T,TUCSON_W,PHOENIX_T,PHOENIX_W,LAS VEGAS_T,LAS VEGAS_W,OAKLAND_T,OAKLAND_W
2005-01-01,-2.22,1.1,-1.1,2.03,1.4,0.8,-6.4,2.1,0.56,1.0,-8.48,1.2,-5.76,0.8,3.61,3.7,10.83,3.8,11.11,2.9,3.33,4.1,5.5,5.1,6.67,6.17,6.64,3.0,10.83,1.8,3.89,2.4,5.49,5.73
2005-01-02,-1.39,1.3,-0.83,1.6,0.0,1.7,-6.11,1.4,0.28,1.9,-5.28,1.4,-3.3,0.9,3.89,3.6,10.28,4.6,11.94,4.01,2.78,3.9,6.1,3.63,6.94,4.6,6.89,2.7,9.44,2.2,1.39,6.75,6.17,4.3
2005-01-03,1.39,1.8,0.8,2.2,3.3,2.72,-6.67,1.3,4.4,3.7,-3.89,2.2,0.6,1.8,5.28,3.3,11.67,5.3,12.5,4.6,5.83,2.6,7.2,2.3,8.9,2.7,9.54,5.1,11.95,4.6,7.22,8.11,7.55,2.6
2005-01-04,2.5,1.7,1.94,1.9,6.11,2.5,-4.17,1.5,3.61,2.8,-0.6,2.3,0.87,1.4,6.94,1.7,13.61,3.0,13.06,2.4,6.11,1.1,8.05,1.5,9.17,1.9,6.66,3.1,9.8,2.7,6.67,3.8,8.3,1.9
2005-01-05,6.12,3.6,5.58,3.3,7.2,4.8,-1.39,2.0,6.4,6.4,0.83,3.6,2.2,1.9,7.22,1.2,14.44,2.4,12.78,1.5,6.1,0.7,7.2,1.5,8.6,1.7,9.15,2.5,10.0,1.6,6.4,2.1,7.8,1.7
2005-01-06,9.17,3.4,12.21,4.2,7.5,2.9,3.3,2.7,8.34,6.13,3.89,4.8,5.05,3.2,7.5,0.8,14.43,2.3,12.22,1.6,6.4,0.13,7.2,0.6,8.89,0.5,7.2,2.0,9.17,1.3,6.67,1.4,6.9,0.73
2005-01-07,12.78,6.88,13.89,6.2,11.1,6.4,7.5,3.1,11.67,10.84,9.08,4.7,8.05,3.5,6.11,1.2,12.22,1.6,12.78,1.1,6.4,2.5,8.3,2.6,9.44,3.7,9.7,2.5,12.26,1.9,8.33,1.0,8.3,3.4
2005-01-08,8.33,6.2,8.89,5.56,8.06,6.58,8.33,5.8,9.72,10.9,5.28,8.12,8.6,7.2,12.22,4.2,10.56,2.0,12.22,1.1,10.83,6.12,12.8,6.02,12.78,7.5,11.95,1.7,11.39,1.0,7.5,2.3,12.2,7.4
2005-01-09,4.44,4.0,4.26,3.6,5.39,4.8,1.1,3.8,6.39,8.2,0.83,5.7,1.7,3.4,9.44,1.6,13.89,2.9,16.11,2.2,6.67,1.1,8.05,1.8,8.89,2.2,8.72,1.9,11.11,1.6,8.89,2.1,7.8,2.0
2005-01-10,7.22,3.63,5.0,3.4,5.83,5.1,-2.78,2.2,6.1,7.2,-0.26,4.0,1.7,2.3,6.67,2.5,13.61,3.5,14.45,3.89,7.22,2.2,9.4,2.2,10.05,2.42,9.43,4.0,11.11,4.57,5.0,6.51,7.8,2.5
