,Generator,Time,Value,Zones,Type,$/MWh
0,DEXZEL_1_UNIT,1,0.0,PGE_valley,Gas,38.25860000000001
1,DEXZEL_1_UNIT,2,0.0,PGE_valley,Gas,38.25860000000001
2,DEXZEL_1_UNIT,3,0.0,PGE_valley,Gas,38.25860000000001
3,DEXZEL_1_UNIT,4,0.0,PGE_valley,Gas,38.25860000000001
4,DEXZEL_1_UNIT,5,0.0,PGE_valley,Gas,38.25860000000001
5,DEXZEL_1_UNIT,6,0.0,PGE_valley,Gas,38.25860000000001
6,DEXZEL_1_UNIT,7,0.0,PGE_valley,Gas,38.25860000000001
7,DEXZEL_1_UNIT,8,0.0,PGE_valley,Gas,38.25860000000001
8,DEXZEL_1_UNIT,9,0.0,PGE_valley,Gas,38.25860000000001
9,DEXZEL_1_UNIT,10,0.0,PGE_valley,Gas,38.25860000000001
10,DEXZEL_1_UNIT,11,0.0,PGE_valley,Gas,38.25860000000001
11,DEXZEL_1_UNIT,12,0.0,PGE_valley,Gas,38.25860000000001
12,DEXZEL_1_UNIT,13,0.0,PGE_valley,Gas,38.25860000000001
13,DEXZEL_1_UNIT,14,0.0,PGE_valley,Gas,38.25860000000001
14,DEXZEL_1_UNIT,15,0.0,PGE_valley,Gas,38.25860000000001
15,DEXZEL_1_UNIT,16,0.0,PGE_valley,Gas,38.25860000000001
16,DEXZEL_1_UNIT,17,0.0,PGE_valley,Gas,38.25860000000001
17,DEXZEL_1_UNIT,18,0.0,PGE_valley,Gas,38.25860000000001
18,DEXZEL_1_UNIT,19,0.0,PGE_valley,Gas,38.25860000000001
19,DEXZEL_1_UNIT,20,0.0,PGE_valley,Gas,38.25860000000001
20,DEXZEL_1_UNIT,21,0.0,PGE_valley,Gas,38.25860000000001
21,DEXZEL_1_UNIT,22,0.0,PGE_valley,Gas,38.25860000000001
22,DEXZEL_1_UNIT,23,0.0,PGE_valley,Gas,38.25860000000001
23,DEXZEL_1_UNIT,24,0.0,PGE_valley,Gas,38.25860000000001
24,AGRICO_6_PL3N5,1,0.0,PGE_valley,Gas,37.979000000000006
25,AGRICO_6_PL3N5,2,0.0,PGE_valley,Gas,37.979000000000006
26,AGRICO_6_PL3N5,3,0.0,PGE_valley,Gas,37.979000000000006
27,AGRICO_6_PL3N5,4,0.0,PGE_valley,Gas,37.979000000000006
28,AGRICO_6_PL3N5,5,0.0,PGE_valley,Gas,37.979000000000006
29,AGRICO_6_PL3N5,6,0.0,PGE_valley,Gas,37.979000000000006
30,AGRICO_6_PL3N5,7,0.0,PGE_valley,Gas,37.979000000000006
31,AGRICO_6_PL3N5,8,0.0,PGE_valley,Gas,37.979000000000006
32,AGRICO_6_PL3N5,9,0.0,PGE_valley,Gas,37.979000000000006
33,AGRICO_6_PL3N5,10,0.0,PGE_valley,Gas,37.979000000000006
34,AGRICO_6_PL3N5,11,0.0,PGE_valley,Gas,37.979000000000006
35,AGRICO_6_PL3N5,12,0.0,PGE_valley,Gas,37.979000000000006
36,AGRICO_6_PL3N5,13,0.0,PGE_valley,Gas,37.979000000000006
37,AGRICO_6_PL3N5,14,0.0,PGE_valley,Gas,37.979000000000006
38,AGRICO_6_PL3N5,15,0.0,PGE_valley,Gas,37.979000000000006
39,AGRICO_6_PL3N5,16,0.0,PGE_valley,Gas,37.979000000000006
40,AGRICO_6_PL3N5,17,0.0,PGE_valley,Gas,37.979000000000006
41,AGRICO_6_PL3N5,18,0.0,PGE_valley,Gas,37.979000000000006
42,AGRICO_6_PL3N5,19,0.0,PGE_valley,Gas,37.979000000000006
43,AGRICO_6_PL3N5,20,0.0,PGE_valley,Gas,37.979000000000006
44,AGRICO_6_PL3N5,21,0.0,PGE_valley,Gas,37.979000000000006
45,AGRICO_6_PL3N5,22,0.0,PGE_valley,Gas,37.979000000000006
46,AGRICO_6_PL3N5,23,0.0,PGE_valley,Gas,37.979000000000006
47,AGRICO_6_PL3N5,24,0.0,PGE_valley,Gas,37.979000000000006
48,SGREGY_6_SANGER,1,0.0,PGE_valley,Gas,37.979000000000006
49,SGREGY_6_SANGER,2,0.0,PGE_valley,Gas,37.979000000000006
50,SGREGY_6_SANGER,3,0.0,PGE_valley,Gas,37.979000000000006
51,SGREGY_6_SANGER,4,0.0,PGE_valley,Gas,37.979000000000006
52,SGREGY_6_SANGER,5,0.0,PGE_valley,Gas,37.979000000000006
53,SGREGY_6_SANGER,6,0.0,PGE_valley,Gas,37.979000000000006
54,SGREGY_6_SANGER,7,0.0,PGE_valley,Gas,37.979000000000006
55,SGREGY_6_SANGER,8,0.0,PGE_valley,Gas,37.979000000000006
56,SGREGY_6_SANGER,9,0.0,PGE_valley,Gas,37.979000000000006
57,SGREGY_6_SANGER,10,0.0,PGE_valley,Gas,37.979000000000006
58,SGREGY_6_SANGER,11,0.0,PGE_valley,Gas,37.979000000000006
59,SGREGY_6_SANGER,12,0.0,PGE_valley,Gas,37.979000000000006
