,Constraint,Time,Value
0,Bal1Constraint,1,32.243399999999994
1,Bal1Constraint,2,32.2434
2,Bal1Constraint,3,32.2434
3,Bal1Constraint,4,32.243399999999994
4,Bal1Constraint,5,32.2434
5,Bal1Constraint,6,32.2434
6,Bal1Constraint,7,32.243399999999994
7,Bal1Constraint,8,32.2434
8,Bal1Constraint,9,32.2434
9,Bal1Constraint,10,32.2434
10,Bal1Constraint,11,32.2434
11,Bal1Constraint,12,32.2434
12,Bal1Constraint,13,32.2434
13,Bal1Constraint,14,32.2434
14,Bal1Constraint,15,32.2434
15,Bal1Constraint,16,32.2434
16,Bal1Constraint,17,32.2434
17,Bal1Constraint,18,32.1036
18,Bal1Constraint,19,32.3832
19,Bal1Constraint,20,32.2434
20,Bal1Constraint,21,32.2434
21,Bal1Constraint,22,32.2434
22,Bal1Constraint,23,32.2434
23,Bal1Constraint,24,32.243399999999994
24,Bal2Constraint,1,32.243399999999994
25,Bal2Constraint,2,32.2434
26,Bal2Constraint,3,32.2434
27,Bal2Constraint,4,32.243399999999994
28,Bal2Constraint,5,32.2434
29,Bal2Constraint,6,32.2434
30,Bal2Constraint,7,32.243399999999994
31,Bal2Constraint,8,32.2434
32,Bal2Constraint,9,32.2434
33,Bal2Constraint,10,32.2434
34,Bal2Constraint,11,32.2434
35,Bal2Constraint,12,32.2434
36,Bal2Constraint,13,32.2434
37,Bal2Constraint,14,32.2434
38,Bal2Constraint,15,32.2434
39,Bal2Constraint,16,32.2434
40,Bal2Constraint,17,32.2434
41,Bal2Constraint,18,32.1036
42,Bal2Constraint,19,32.3832
43,Bal2Constraint,20,32.2434
44,Bal2Constraint,21,32.2434
45,Bal2Constraint,22,32.2434
46,Bal2Constraint,23,32.2434
47,Bal2Constraint,24,32.243399999999994
48,Bal3Constraint,1,37.953399999999995
49,Bal3Constraint,2,37.589
50,Bal3Constraint,3,37.589
51,Bal3Constraint,4,36.958
52,Bal3Constraint,5,36.9554
53,Bal3Constraint,6,36.9554
54,Bal3Constraint,7,36.9632
55,Bal3Constraint,8,36.9554
56,Bal3Constraint,9,34.5863
57,Bal3Constraint,10,29.4458
58,Bal3Constraint,11,29.266999999999996
59,Bal3Constraint,12,29.222299999999997
60,Bal3Constraint,13,29.266999999999996
61,Bal3Constraint,14,30.026899999999998
62,Bal3Constraint,15,30.026899999999998
63,Bal3Constraint,16,36.9554
64,Bal3Constraint,17,37.9534
65,Bal3Constraint,18,37.8136
66,Bal3Constraint,19,38.0932
67,Bal3Constraint,20,37.9534
68,Bal3Constraint,21,37.9534
69,Bal3Constraint,22,37.9534
70,Bal3Constraint,23,37.9534
71,Bal3Constraint,24,37.953399999999995
72,Bal4Constraint,1,46.1636
73,Bal4Constraint,2,39.824
74,Bal4Constraint,3,39.458600000000004
75,Bal4Constraint,4,39.458600000000004
76,Bal4Constraint,5,39.458600000000004
77,Bal4Constraint,6,39.458600000000004
78,Bal4Constraint,7,39.458600000000004
79,Bal4Constraint,8,39.458600000000004
80,Bal4Constraint,9,38.93
81,Bal4Constraint,10,38.3489
82,Bal4Constraint,11,38.3489
83,Bal4Constraint,12,38.29639999999999
84,Bal4Constraint,13,38.29639999999999
85,Bal4Constraint,14,38.3489
86,Bal4Constraint,15,38.3489
87,Bal4Constraint,16,39.458600000000004
88,Bal4Constraint,17,45.0014
89,Bal4Constraint,18,47.3258
90,Bal4Constraint,19,48.053200000000004
91,Bal4Constraint,20,47.9134
92,Bal4Constraint,21,47.9134
93,Bal4Constraint,22,47.9134
94,Bal4Constraint,23,47.9134
95,Bal4Constraint,24,46.1636
96,Bal1Constraint,25,32.2434
97,Bal1Constraint,26,32.2434
98,Bal1Constraint,27,32.2434
99,Bal1Constraint,28,32.2434
100,Bal1Constraint,29,32.2434
101,Bal1Constraint,30,32.2434
102,Bal1Constraint,31,32.2434
103,Bal1Constraint,32,32.2434
104,Bal1Constraint,33,32.2434
105,Bal1Constraint,34,32.2434
106,Bal1Constraint,35,32.2434
107,Bal1Constraint,36,32.2434
108,Bal1Constraint,37,32.2434
109,Bal1Constraint,38,32.2434
110,Bal1Constraint,39,32.2434
111,Bal1Constraint,40,32.2434
112,Bal1Constraint,41,32.2434
113,Bal1Constraint,42,32.2434
114,Bal1Constraint,43,32.2434
115,Bal1Constraint,44,32.2434
116,Bal1Constraint,45,32.2434
117,Bal1Constraint,46,32.2434
118,Bal1Constraint,47,32.2434
119,Bal1Constraint,48,32.2434
120,Bal2Constraint,25,32.2434
121,Bal2Constraint,26,32.2434
122,Bal2Constraint,27,32.2434
123,Bal2Constraint,28,32.2434
124,Bal2Constraint,29,32.2434
125,Bal2Constraint,30,32.2434
126,Bal2Constraint,31,32.2434
127,Bal2Constraint,32,32.2434
128,Bal2Constraint,33,32.2434
129,Bal2Constraint,34,32.2434
130,Bal2Constraint,35,32.2434
131,Bal2Constraint,36,32.2434
132,Bal2Constraint,37,32.2434
133,Bal2Constraint,38,32.2434
134,Bal2Constraint,39,32.2434
135,Bal2Constraint,40,32.2434
136,Bal2Constraint,41,32.2434
137,Bal2Constraint,42,32.2434
138,Bal2Constraint,43,32.2434
139,Bal2Constraint,44,32.2434
140,Bal2Constraint,45,32.2434
141,Bal2Constraint,46,32.2434
142,Bal2Constraint,47,32.2434
143,Bal2Constraint,48,32.2434
144,Bal3Constraint,25,36.9554
145,Bal3Constraint,26,36.695
146,Bal3Constraint,27,36.695
147,Bal3Constraint,28,36.695
148,Bal3Constraint,29,36.695
149,Bal3Constraint,30,36.695
150,Bal3Constraint,31,36.695
151,Bal3Constraint,32,36.695
152,Bal3Constraint,33,36.695
153,Bal3Constraint,34,36.695
154,Bal3Constraint,35,36.248000000000005
155,Bal3Constraint,36,36.5162
156,Bal3Constraint,37,36.5162
157,Bal3Constraint,38,36.35300000000001
158,Bal3Constraint,39,36.9554
159,Bal3Constraint,40,36.9554
160,Bal3Constraint,41,37.8572
161,Bal3Constraint,42,37.9534
162,Bal3Constraint,43,37.9534
163,Bal3Constraint,44,37.9534
164,Bal3Constraint,45,37.9534
165,Bal3Constraint,46,37.9534
166,Bal3Constraint,47,37.9534
167,Bal3Constraint,48,37.9534
168,Bal4Constraint,25,39.458600000000004
169,Bal4Constraint,26,39.458600000000004
170,Bal4Constraint,27,39.064099999999996
171,Bal4Constraint,28,38.93
172,Bal4Constraint,29,38.93
173,Bal4Constraint,30,39.064099999999996
174,Bal4Constraint,31,39.458600000000004
175,Bal4Constraint,32,39.458600000000004
176,Bal4Constraint,33,38.93
177,Bal4Constraint,34,38.6618
178,Bal4Constraint,35,38.3489
179,Bal4Constraint,36,38.3489
180,Bal4Constraint,37,38.3489
181,Bal4Constraint,38,38.3489
182,Bal4Constraint,39,39.064099999999996
183,Bal4Constraint,40,39.458600000000004
184,Bal4Constraint,41,45.0014
185,Bal4Constraint,42,46.1636
186,Bal4Constraint,43,47.9134
187,Bal4Constraint,44,47.9134
188,Bal4Constraint,45,47.9134
189,Bal4Constraint,46,47.9134
190,Bal4Constraint,47,47.9134
191,Bal4Constraint,48,46.1636
192,Bal1Constraint,49,33.7486
193,Bal1Constraint,50,33.7486
194,Bal1Constraint,51,33.7486
195,Bal1Constraint,52,33.7486
196,Bal1Constraint,53,33.7486
197,Bal1Constraint,54,33.7486
198,Bal1Constraint,55,33.7486
199,Bal1Constraint,56,33.7486
200,Bal1Constraint,57,33.7486
201,Bal1Constraint,58,33.7486
202,Bal1Constraint,59,33.7486
203,Bal1Constraint,60,33.7486
204,Bal1Constraint,61,33.7486
205,Bal1Constraint,62,33.7486
206,Bal1Constraint,63,33.7486
207,Bal1Constraint,64,33.7486
208,Bal1Constraint,65,33.7486
209,Bal1Constraint,66,33.7486
210,Bal1Constraint,67,33.7486
211,Bal1Constraint,68,33.7486
212,Bal1Constraint,69,33.7486
213,Bal1Constraint,70,33.7486
214,Bal1Constraint,71,33.7486
215,Bal1Constraint,72,33.7486
216,Bal2Constraint,49,33.7486
217,Bal2Constraint,50,33.7486
218,Bal2Constraint,51,33.7486
