,Generator,Time,Value,Zones
0,RATHDRUMPWR_CTG1,1,0.0,PNW
1,RATHDRUMPWR_CTG1,2,0.0,PNW
2,RATHDRUMPWR_CTG1,3,0.0,PNW
3,RATHDRUMPWR_CTG1,4,0.0,PNW
4,RATHDRUMPWR_CTG1,5,0.0,PNW
5,RATHDRUMPWR_CTG1,6,179.4,PNW
6,RATHDRUMPWR_CTG1,7,179.4,PNW
7,RATHDRUMPWR_CTG1,8,0.0,PNW
8,RATHDRUMPWR_CTG1,9,0.0,PNW
9,RATHDRUMPWR_CTG1,10,0.0,PNW
10,RATHDRUMPWR_CTG1,11,0.0,PNW
11,RATHDRUMPWR_CTG1,12,0.0,PNW
12,RATHDRUMPWR_CTG1,13,0.0,PNW
13,RATHDRUMPWR_CTG1,14,179.4,PNW
14,RATHDRUMPWR_CTG1,15,0.0,PNW
15,RATHDRUMPWR_CTG1,16,179.4,PNW
16,RATHDRUMPWR_CTG1,17,179.4,PNW
17,RATHDRUMPWR_CTG1,18,0.0,PNW
18,RATHDRUMPWR_CTG1,19,179.4,PNW
19,RATHDRUMPWR_CTG1,20,0.0,PNW
20,RATHDRUMPWR_CTG1,21,0.0,PNW
21,RATHDRUMPWR_CTG1,22,0.0,PNW
22,RATHDRUMPWR_CTG1,23,0.0,PNW
23,RATHDRUMPWR_CTG1,24,0.0,PNW
24,SLACK,1,0.0,PNW
25,SLACK,2,0.0,PNW
26,SLACK,3,0.0,PNW
27,SLACK,4,0.0,PNW
28,SLACK,5,0.0,PNW
29,SLACK,6,0.0,PNW
30,SLACK,7,0.0,PNW
31,SLACK,8,0.0,PNW
32,SLACK,9,0.0,PNW
33,SLACK,10,0.0,PNW
34,SLACK,11,0.0,PNW
35,SLACK,12,0.0,PNW
36,SLACK,13,0.0,PNW
37,SLACK,14,0.0,PNW
38,SLACK,15,0.0,PNW
39,SLACK,16,0.0,PNW
40,SLACK,17,0.0,PNW
41,SLACK,18,0.0,PNW
42,SLACK,19,0.0,PNW
43,SLACK,20,0.0,PNW
44,SLACK,21,0.0,PNW
45,SLACK,22,0.0,PNW
46,SLACK,23,0.0,PNW
47,SLACK,24,0.0,PNW
48,GRAYS_HARBOR_CT1,1,0.0,PNW
49,GRAYS_HARBOR_CT1,2,0.0,PNW
50,GRAYS_HARBOR_CT1,3,0.0,PNW
51,GRAYS_HARBOR_CT1,4,0.0,PNW
52,GRAYS_HARBOR_CT1,5,0.0,PNW
53,GRAYS_HARBOR_CT1,6,0.0,PNW
54,GRAYS_HARBOR_CT1,7,0.0,PNW
55,GRAYS_HARBOR_CT1,8,0.0,PNW
56,GRAYS_HARBOR_CT1,9,0.0,PNW
57,GRAYS_HARBOR_CT1,10,198.9,PNW
58,GRAYS_HARBOR_CT1,11,0.0,PNW
59,GRAYS_HARBOR_CT1,12,0.0,PNW
60,GRAYS_HARBOR_CT1,13,0.0,PNW
61,GRAYS_HARBOR_CT1,14,0.0,PNW
62,GRAYS_HARBOR_CT1,15,0.0,PNW
63,GRAYS_HARBOR_CT1,16,0.0,PNW
64,GRAYS_HARBOR_CT1,17,0.0,PNW
65,GRAYS_HARBOR_CT1,18,0.0,PNW
66,GRAYS_HARBOR_CT1,19,0.0,PNW
67,GRAYS_HARBOR_CT1,20,0.0,PNW
68,GRAYS_HARBOR_CT1,21,0.0,PNW
69,GRAYS_HARBOR_CT1,22,0.0,PNW
70,GRAYS_HARBOR_CT1,23,0.0,PNW
71,GRAYS_HARBOR_CT1,24,0.0,PNW
72,FREDONIA_2,1,0.0,PNW
73,FREDONIA_2,2,0.0,PNW
74,FREDONIA_2,3,0.0,PNW
75,FREDONIA_2,4,0.0,PNW
76,FREDONIA_2,5,0.0,PNW
77,FREDONIA_2,6,0.0,PNW
78,FREDONIA_2,7,0.0,PNW
79,FREDONIA_2,8,0.0,PNW
80,FREDONIA_2,9,0.0,PNW
81,FREDONIA_2,10,0.0,PNW
82,FREDONIA_2,11,0.0,PNW
83,FREDONIA_2,12,0.0,PNW
84,FREDONIA_2,13,0.0,PNW
85,FREDONIA_2,14,0.0,PNW
86,FREDONIA_2,15,0.0,PNW
87,FREDONIA_2,16,0.0,PNW
88,FREDONIA_2,17,0.0,PNW
89,FREDONIA_2,18,0.0,PNW
90,FREDONIA_2,19,0.0,PNW
91,FREDONIA_2,20,0.0,PNW
92,FREDONIA_2,21,0.0,PNW
93,FREDONIA_2,22,0.0,PNW
94,FREDONIA_2,23,0.0,PNW
95,FREDONIA_2,24,0.0,PNW
96,RIVER_ROAD,1,0.0,PNW
97,RIVER_ROAD,2,0.0,PNW
98,RIVER_ROAD,3,0.0,PNW
99,RIVER_ROAD,4,0.0,PNW
100,RIVER_ROAD,5,248.0,PNW
101,RIVER_ROAD,6,0.0,PNW
102,RIVER_ROAD,7,0.0,PNW
103,RIVER_ROAD,8,0.0,PNW
104,RIVER_ROAD,9,0.0,PNW
105,RIVER_ROAD,10,0.0,PNW
106,RIVER_ROAD,11,0.0,PNW
107,RIVER_ROAD,12,0.0,PNW
108,RIVER_ROAD,13,0.0,PNW
109,RIVER_ROAD,14,0.0,PNW
110,RIVER_ROAD,15,0.0,PNW
111,RIVER_ROAD,16,0.0,PNW
112,RIVER_ROAD,17,0.0,PNW
113,RIVER_ROAD,18,0.0,PNW
114,RIVER_ROAD,19,0.0,PNW
115,RIVER_ROAD,20,0.0,PNW
116,RIVER_ROAD,21,0.0,PNW
117,RIVER_ROAD,22,0.0,PNW
118,RIVER_ROAD,23,0.0,PNW
119,RIVER_ROAD,24,0.0,PNW
120,BOULDER_PARK_3,1,0.0,PNW
121,BOULDER_PARK_3,2,0.0,PNW
122,BOULDER_PARK_3,3,0.0,PNW
123,BOULDER_PARK_3,4,0.0,PNW
124,BOULDER_PARK_3,5,0.0,PNW
125,BOULDER_PARK_3,6,0.0,PNW
126,BOULDER_PARK_3,7,4.1,PNW
127,BOULDER_PARK_3,8,0.0,PNW
128,BOULDER_PARK_3,9,0.0,PNW
129,BOULDER_PARK_3,10,0.0,PNW
130,BOULDER_PARK_3,11,0.0,PNW
